,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,TSeries-09012017-1015-021,['TSeries_21_1'],-3694.29655953,449,-1025.24030044,351,126.991,68.6918548737,no cnx,,5.0,"[array([21, 23, 25, 27, 29, 31, 33, 35, 37, 39])]",
1,TSeries-09012017-1015-021,['TSeries_1_1'],-3724.84485544,367,-1024.20476499,354,78.251,38.3708461974,no cnx,,5.0,"[array([ 1,  3,  5,  7,  9, 11, 13, 15, 17, 19])]",
2,TSeries-09012017-1015-021,['TSeries_41_1'],-3764.19520272,260,-1095.3978275,161,142.171,66.0110487328,no cnx,,5.0,"[array([41, 42, 43, 44, 45, 46, 47, 48, 49, 50])]",
3,TSeries-09012017-1015-021,['TSeries_51_3'],-3637.93517203,602,-1049.69918431,285,114.291,126.565571404,no cnx,,5.0,"[array([53, 58, 63, 68, 73, 78, 83, 88, 93, 98])]",
4,TSeries-09012017-1015-021,['TSeries_51_2'],-3653.98597158,558,-1109.76024068,122,114.291,135.321074694,no cnx,,5.0,"[array([52, 57, 62, 67, 72, 77, 82, 87, 92, 97])]",
5,TSeries-09012017-1015-021,['TSeries_1_2'],-3738.82458408,329,-1106.27094977,132,78.251,80.5414187764,no cnx,,5.0,"[array([ 2,  4,  6,  8, 10, 12, 14, 16, 18, 20])]",
6,TSeries-09012017-1015-021,['TSeries_51_4'],-3631.98084317,618,-1081.8007834,198,114.291,140.981498021,no cnx,,5.0,"[array([54, 59, 64, 69, 74, 79, 84, 89, 94, 99])]",
7,TSeries-09012017-1015-021,['TSeries_51_1'],-3704.98609272,420,-1069.11547408,232,114.291,70.1923056186,inhibitory,,5.0,"[[51, 56, 61, 66, 71, 76, 81, 86, 91, 96]]",
8,TSeries-09012017-1015-021,['TSeries_51_5'],-3727.25010499,360,-1151.69942659,9,114.291,127.378659858,no cnx,,5.0,"[array([ 55,  60,  65,  70,  75,  80,  85,  90,  95, 100])]",
9,TSeries-09012017-1015-021,['TSeries_21_2'],-3693.51990794,451,-1079.34702795,205,126.991,85.4579105053,inhibitory,,5.0,"[[22, 24, 26, 28, 30, 32, 34, 36, 38, 40]]",
