,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,ZSeries-09122017-1131-071,['TSeries_308_1'],-1058.67567,230,5198.502381,153,7837.628,49.52050696,no cnx,,5,"[array([308, 320, 332, 344, 356, 368, 380, 392, 404, 416])]",-17.64
1,ZSeries-09122017-1131-071,['TSeries_118_2'],-1003.073368,380,5292.604346,406,7854.018,66.72715615,no cnx,,5,"[array([119, 131, 143, 155, 167])]",-1.25
2,ZSeries-09122017-1131-071,['TSeries_308_12'],-1004.789423,376,5237.954812,259,7837.628,47.33977733,no cnx,,5,"[array([319, 331, 343, 355, 367, 379, 391, 403, 415, 427])]",-17.64
3,ZSeries-09122017-1131-071,['TSeries_188_8'],-1069.733995,201,5263.447132,328,7874.298,34.82504852,no cnx,,5,"[array([195, 207, 219, 231, 243, 255, 267, 279, 291, 303])]",19.03
4,ZSeries-09122017-1131-071,"['TSeries_27_9', 'TSeries_58_9']",-999.5998415,390,5212.73723,191,7854.018,57.72029455,no cnx,,5,"[array([35, 47, 59, 71, 83]), array([ 66,  78,  90, 102, 114])]",-1.25
5,ZSeries-09122017-1131-071,['TSeries_178_1'],-1056.02187,238,5180.212125,104,7846.108,64.51221899,no cnx,,5,"[array([178, 179, 180, 181, 182, 183, 184, 185, 186, 187])]",-9.16
6,ZSeries-09122017-1131-071,['TSeries_188_12'],-1018.734511,338,5268.258404,341,7874.298,42.9777986,no cnx,,5,"[array([199, 211, 223, 235, 247, 259, 271, 283, 295, 307])]",19.03
7,ZSeries-09122017-1131-071,['TSeries_308_5'],-1145.519131,3,5209.568307,183,7837.628,104.4551718,no cnx,,5,"[array([312, 324, 336, 348, 360, 372, 384, 396, 408, 420])]",-17.64
8,ZSeries-09122017-1131-071,['TSeries_118_7'],-1103.628954,109,5193.251578,139,7854.018,74.78416035,no cnx,,5,"[array([124, 136, 148, 160, 172])]",-1.25
9,ZSeries-09122017-1131-071,"['TSeries_27_2', 'TSeries_58_2']",-1005.373368,374,5292.604346,406,7854.018,65.18826628,no cnx,,5,"[array([28, 40, 52, 64, 76]), array([ 59,  71,  83,  95, 107])]",-1.25
10,ZSeries-09122017-1131-071,['TSeries_188_1'],-1052.413416,247,5306.748581,444,7874.298,66.07006274,no cnx,,5,"[array([188, 200, 212, 224, 236, 248, 260, 272, 284, 296])]",19.03
11,ZSeries-09122017-1131-071,"['TSeries_27_12', 'TSeries_58_12']",-1043.382417,272,5266.86404,337,7854.018,23.81370702,no cnx,,5,"[array([38, 50, 62, 74, 86]), array([ 69,  81,  93, 105, 117])]",-1.25
12,ZSeries-09122017-1131-071,['TSeries_118_12'],-1041.082417,278,5266.86404,337,7854.018,24.39783439,no cnx,,5,"[array([129, 141, 153, 165, 177])]",-1.25
13,ZSeries-09122017-1131-071,['TSeries_308_10'],-1075.755686,184,5150.870788,24,7837.628,98.29712034,no cnx,,5,"[array([317, 329, 341, 353, 365, 377, 389, 401, 413, 425])]",-17.64
14,ZSeries-09122017-1131-071,['TSeries_188_9'],-993.2347691,407,5188.150724,125,7874.298,80.47310824,no cnx,,5,"[array([196, 208, 220, 232, 244, 256, 268, 280, 292, 304])]",19.03
15,ZSeries-09122017-1131-071,"['TSeries_27_3', 'TSeries_58_3']",-1023.175075,326,5248.82177,288,7854.018,25.74378742,no cnx,,5,"[array([29, 41, 53, 65, 77]), array([ 60,  72,  84,  96, 108])]",-1.25
