,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,TSeries-09152017-1132-026,['TSeries_26_1'],-4062.88643793,43,1053.4201677,50,405.926,0.907064122423,tbd,,5.0,"[[26, 40, 54, 68, 82, 96, 110, 124, 138, 152]]",
1,TSeries-09152017-1132-026,['TSeries_346_1'],-4063.83429452,40,1053.89409599,51,405.926,0.310532667144,tbd,,5.0,"[[346, 369, 392, 415, 438, 461, 484, 507, 530, 553]]",
2,TSeries-09152017-1132-026,['TSeries_346_14'],-3903.88349459,471,1158.63224943,333,405.926,190.883578011,no cnx,,5.0,"[array([359, 382, 405, 428, 451, 474, 497, 520, 543, 566])]",
3,TSeries-09152017-1132-026,['TSeries_576_8'],-4057.5043639,57,1113.64918275,212,405.926,59.9235327015,no cnx,,5.0,"[array([583, 592, 601, 610, 619, 628, 637, 646, 655, 664])]",
4,TSeries-09152017-1132-026,['TSeries_346_3'],-4042.74448535,97,1129.48565922,255,405.926,78.2711594848,no cnx,,5.0,"[array([348, 371, 394, 417, 440, 463, 486, 509, 532, 555])]",
5,TSeries-09152017-1132-026,['TSeries_26_2'],-4031.13324209,128,1063.13569777,76,405.926,33.6766509265,no cnx,,5.0,"[array([ 27,  41,  55,  69,  83,  97, 111, 125, 139, 153])]",
6,TSeries-09152017-1132-026,['TSeries_346_2'],-4047.72073246,84,1045.36338666,28,405.926,18.0527851457,tbd,,5.0,"[[347, 370, 393, 416, 439, 462, 485, 508, 531, 554]]",
7,TSeries-09152017-1132-026,['TSeries_576_2'],-4018.64224362,162,1018.38959523,43,405.926,57.33789283,no cnx,,5.0,"[array([577, 586, 595, 604, 613, 622, 631, 640, 649, 658])]",
8,TSeries-09152017-1132-026,['TSeries_346_22'],-3922.12973399,422,1204.36633001,457,405.926,206.402070473,no cnx,,5.0,"[array([367, 390, 413, 436, 459, 482, 505, 528, 551, 574])]",
9,TSeries-09152017-1132-026,['TSeries_26_12'],-3967.62685041,300,1216.45150156,489,405.926,188.633254366,no cnx,,5.0,"[array([ 37,  51,  65,  79,  93, 107, 121, 135, 149, 163])]",
10,TSeries-09152017-1132-026,['TSeries_576_3'],-4138.30913839,159,989.243005017,122,405.926,98.9223790667,no cnx,,5.0,"[array([578, 587, 596, 605, 614, 623, 632, 641, 650, 659])]",
11,TSeries-09152017-1132-026,['TSeries_26_5'],-4017.15235736,166,1197.25740557,437,405.926,150.555029512,excitatory,,5.0,"[[30, 44, 58, 72, 86, 100, 114, 128, 142, 156]]",
12,TSeries-09152017-1132-026,['TSeries_26_8'],-3973.07702582,285,1103.65656708,185,405.926,103.19425178,no cnx,,5.0,"[array([ 33,  47,  61,  75,  89, 103, 117, 131, 145, 159])]",
13,TSeries-09152017-1132-026,['TSeries_26_4'],-4038.95305898,107,1142.51868737,290,405.926,91.8433408022,no cnx,,5.0,"[array([ 29,  43,  57,  71,  85,  99, 113, 127, 141, 155])]",
14,TSeries-09152017-1132-026,['TSeries_346_20'],-4014.54575173,173,1209.34257712,470,405.926,162.860006912,no cnx,,5.0,"[array([365, 388, 411, 434, 457, 480, 503, 526, 549, 572])]",
15,TSeries-09152017-1132-026,['TSeries_346_16'],-3912.41420392,448,1116.92655938,221,405.926,163.705795286,no cnx,,5.0,"[array([361, 384, 407, 430, 453, 476, 499, 522, 545, 568])]",
16,TSeries-09152017-1132-026,['TSeries_346_6'],-4024.97217424,145,1191.57026601,422,405.926,142.847776906,no cnx,,5.0,"[array([351, 374, 397, 420, 443, 466, 489, 512, 535, 558])]",
17,TSeries-09152017-1132-026,['TSeries_346_4'],-4019.04807054,161,1122.13977063,235,405.926,81.3610984449,no cnx,,5.0,"[array([349, 372, 395, 418, 441, 464, 487, 510, 533, 556])]",
18,TSeries-09152017-1132-026,['TSeries_346_10'],-3997.72129722,218,1127.82691019,250,405.926,98.8933962192,no cnx,,5.0,"[array([355, 378, 401, 424, 447, 470, 493, 516, 539, 562])]",
19,TSeries-09152017-1132-026,['TSeries_346_13'],-3950.8023959,345,1114.31995375,214,405.926,127.859401596,no cnx,,5.0,"[array([358, 381, 404, 427, 450, 473, 496, 519, 542, 565])]",
20,TSeries-09152017-1132-026,['TSeries_26_14'],-3954.83078642,334,1193.4659792,427,405.926,176.813510693,no cnx,,5.0,"[array([ 39,  53,  67,  81,  95, 109, 123, 137, 151, 165])]",
21,TSeries-09152017-1132-026,['TSeries_26_7'],-3990.37540863,238,1131.8553007,261,405.926,106.826368229,no cnx,,5.0,"[array([ 32,  46,  60,  74,  88, 102, 116, 130, 144, 158])]",
22,TSeries-09152017-1132-026,['TSeries_26_13'],-3908.14884925,460,1175.69366809,379,405.926,197.365047675,no cnx,,5.0,"[array([ 38,  52,  66,  80,  94, 108, 122, 136, 150, 164])]",
23,TSeries-09152017-1132-026,['TSeries_346_12'],-3960.51792597,319,1184.46134157,403,405.926,166.218736199,no cnx,,5.0,"[array([357, 380, 403, 426, 449, 472, 495, 518, 541, 564])]",
24,TSeries-09152017-1132-026,['TSeries_576_5'],-4172.43197571,251,961.281235546,197,405.926,143.026815591,no cnx,,5.0,"[array([580, 589, 598, 607, 616, 625, 634, 643, 652, 661])]",
25,TSeries-09152017-1132-026,['TSeries_346_9'],-3979.47505782,268,1159.34314188,335,405.926,134.759229669,excitatory,,5.0,"[[354, 377, 400, 423, 446, 469, 492, 515, 538, 561]]",
26,TSeries-09152017-1132-026,['TSeries_346_23'],-3963.1245316,312,1096.31067849,165,405.926,108.967790201,no cnx,,5.0,"[array([368, 391, 414, 437, 460, 483, 506, 529, 552, 575])]",
27,TSeries-09152017-1132-026,['TSeries_26_10'],-3907.43795681,462,1122.85066308,237,405.926,170.613222233,no cnx,,5.0,"[array([ 35,  49,  63,  77,  91, 105, 119, 133, 147, 161])]",
28,TSeries-09152017-1132-026,['TSeries_346_7'],-4008.38468388,190,1192.04419431,423,405.926,148.631232777,no cnx,,5.0,"[array([352, 375, 398, 421, 444, 467, 490, 513, 536, 559])]",
29,TSeries-09152017-1132-026,['TSeries_346_18'],-3957.67435619,326,1064.7944468,81,405.926,106.42728647,no cnx,,5.0,"[array([363, 386, 409, 432, 455, 478, 501, 524, 547, 570])]",
30,TSeries-09152017-1132-026,['TSeries_346_5'],-4027.34181572,139,1154.84082306,323,405.926,107.116235467,no cnx,,5.0,"[array([350, 373, 396, 419, 442, 465, 488, 511, 534, 557])]",
31,TSeries-09152017-1132-026,['TSeries_576_6'],-4107.266835,76,1056.77778721,59,405.926,43.7969201333,no cnx,,5.0,"[array([581, 590, 599, 608, 617, 626, 635, 644, 653, 662])]",
32,TSeries-09152017-1132-026,['TSeries_576_1'],-4020.53795681,157,1070.75867195,97,405.926,46.1555968531,tbd,,5.0,"[[576, 585, 594, 603, 612, 621, 630, 639, 648, 657]]",
33,TSeries-09152017-1132-026,['TSeries_346_8'],-3995.58861988,224,1145.36225714,298,405.926,113.845453747,no cnx,,5.0,"[array([353, 376, 399, 422, 445, 468, 491, 514, 537, 560])]",
34,TSeries-09152017-1132-026,['TSeries_576_9'],-4011.29635503,182,1123.36471282,238,405.926,86.8222364669,no cnx,,5.0,"[array([584, 593, 602, 611, 620, 629, 638, 647, 656, 665])]",
35,TSeries-09152017-1132-026,['TSeries_26_3'],-4022.36556861,152,1144.41440055,295,405.926,99.3258926037,no cnx,,5.0,"[array([ 28,  42,  56,  70,  84,  98, 112, 126, 140, 154])]",
36,TSeries-09152017-1132-026,['TSeries_26_11'],-3902.22474555,476,1138.727261,280,405.926,182.21163777,no cnx,,5.0,"[array([ 36,  50,  64,  78,  92, 106, 120, 134, 148, 162])]",
37,TSeries-09152017-1132-026,['TSeries_346_17'],-3893.69403622,499,1108.39585005,198,405.926,178.34948028,no cnx,,5.0,"[array([362, 385, 408, 431, 454, 477, 500, 523, 546, 569])]",
38,TSeries-09152017-1132-026,['TSeries_346_15'],-3921.89276984,423,1141.09690248,286,405.926,166.279238708,no cnx,,5.0,"[array([360, 383, 406, 429, 452, 475, 498, 521, 544, 567])]",
39,TSeries-09152017-1132-026,['TSeries_26_6'],-3999.1430821,215,1173.56099076,374,405.926,135.780002045,no cnx,,5.0,"[array([ 31,  45,  59,  73,  87, 101, 115, 129, 143, 157])]",
40,TSeries-09152017-1132-026,['TSeries_346_21'],-3986.34701811,249,1133.04012144,264,405.926,110.469536665,no cnx,,5.0,"[array([366, 389, 412, 435, 458, 481, 504, 527, 550, 573])]",
41,TSeries-09152017-1132-026,['TSeries_576_4'],-4121.72164803,115,988.295148424,125,405.926,87.7756807822,no cnx,,5.0,"[array([579, 588, 597, 606, 615, 624, 633, 642, 651, 660])]",
42,TSeries-09152017-1132-026,['TSeries_346_11'],-3987.53183885,246,1218.1102506,494,405.926,180.835148609,no cnx,,5.0,"[array([356, 379, 402, 425, 448, 471, 494, 517, 540, 563])]",
43,TSeries-09152017-1132-026,['TSeries_26_9'],-3925.92116036,412,1128.53780263,252,405.926,156.507126792,no cnx,,5.0,"[array([ 34,  48,  62,  76,  90, 104, 118, 132, 146, 160])]",
44,TSeries-09152017-1132-026,['TSeries_576_7'],-4090.91630878,32,1104.40758097,187,405.926,57.3260868989,no cnx,,5.0,"[array([582, 591, 600, 609, 618, 627, 636, 645, 654, 663])]",
45,TSeries-09152017-1132-026,['TSeries_346_19'],-4003.40843677,203,1170.71742098,366,405.926,131.27536575,no cnx,,5.0,"[array([364, 387, 410, 433, 456, 479, 502, 525, 548, 571])]",
