,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,electrode_2,electrode_2_cnx,notes,rad_um,sweeps,z_electrode_1,z_electrode_2
0,TSeries-09152017-1301-026,['TSeries_386_2'],-4200.87484387,198,999.918199694,462,26.698,42.3562214341,no cnx,78.1510170265,no cnx,,5.0,"[array([387, 397, 407, 417, 427, 437, 447, 457, 467, 477])]",,
1,TSeries-09152017-1301-026,['TSeries_146_3'],-4298.64680416,65,862.719602937,92,26.698,126.656605581,no cnx,136.400226649,no cnx,,5.0,"[array([148, 157, 166, 175, 184, 193, 202, 211, 220, 229])]",,
2,TSeries-09152017-1301-026,['TSeries_386_1'],-4192.58109868,220,983.33070933,417,26.698,34.8832912806,no cnx,59.913820748,no cnx,,5.0,"[array([386, 396, 406, 416, 426, 436, 446, 456, 466, 476])]",,
3,TSeries-09152017-1301-026,['TSeries_146_1'],-4207.88953545,179,966.272935637,371,26.698,13.162982001,tbd,50.984884376,no cnx,,5.0,"[[146, 155, 164, 173, 182, 191, 200, 209, 218, 227]]",,
4,TSeries-09152017-1301-026,['TSeries_146_9'],-4150.54421162,333,978.595071336,404,26.698,71.773602346,no cnx,59.6672092688,no cnx,,5.0,"[array([154, 163, 172, 181, 190, 199, 208, 217, 226, 235])]",,
5,TSeries-09152017-1301-026,['TSeries_66_5'],-4191.79951233,222,957.208496543,347,26.698,29.1176613322,no cnx,34.9281434335,excitatory,,5.0,"[[70, 78, 86, 94, 102, 110, 118, 126, 134, 142]]",,
6,TSeries-09152017-1301-026,['TSeries_26_2'],-4179.00344833,257,925.692264851,262,26.698,55.3446910119,no cnx,1.56419912957,tbd,,5.0,"[[27, 30, 33, 36, 39, 42, 45, 48, 51, 54]]",,
7,TSeries-09152017-1301-026,['TSeries_66_2'],-4176.63380685,263,923.322623371,255,26.698,58.6899574496,no cnx,2.19752179384,tbd,,5.0,"[[67, 75, 83, 91, 99, 107, 115, 123, 131, 139]]",,
8,TSeries-09152017-1301-026,['TSeries_146_5'],-4264.28700269,27,925.041173875,260,26.698,57.565256956,no cnx,86.8108675077,no cnx,,5.0,"[array([150, 159, 168, 177, 186, 195, 204, 213, 222, 231])]",,
9,TSeries-09152017-1301-026,['TSeries_146_7'],-4187.74758287,233,969.353469562,380,26.698,33.4492205016,excitatory,45.184228573,no cnx,,5.0,"[[152, 161, 170, 179, 188, 197, 206, 215, 224, 233]]",,
10,TSeries-09152017-1301-026,['TSeries_66_7'],-4136.34990168,372,993.937939492,446,26.698,89.8400878768,no cnx,79.9714611293,no cnx,,5.0,"[array([ 72,  80,  88,  96, 104, 112, 120, 128, 136, 144])]",,
11,TSeries-09152017-1301-026,['TSeries_66_8'],-4247.72305127,72,971.900273722,386,26.698,28.88600036,excitatory,84.2691309527,no cnx,,5.0,"[[73, 81, 89, 97, 105, 113, 121, 129, 137, 145]]",,
12,TSeries-09152017-1301-026,['TSeries_386_4'],-4186.42003084,237,1069.11173093,648,26.698,112.046116215,no cnx,144.037578085,no cnx,,5.0,"[array([389, 399, 409, 419, 429, 439, 449, 459, 469, 479])]",,
13,TSeries-09152017-1301-026,['TSeries_66_1'],-4219.52431765,148,959.815102172,354,26.698,2.71138825273,tbd,54.3663823861,no cnx,,5.0,"[[66, 74, 82, 90, 98, 106, 114, 122, 130, 138]]",,
14,TSeries-09152017-1301-026,['TSeries_296_7'],-4110.01757516,443,1020.79296647,518,26.698,124.945370252,no cnx,116.874708416,no cnx,,5.0,"[array([302, 311, 320, 329, 338, 347, 356, 365, 374, 383])]",,
15,TSeries-09152017-1301-026,['TSeries_386_10'],-4070.54456244,549,1073.37708559,660,26.698,186.543762114,no cnx,182.608559612,no cnx,,5.0,"[array([395, 405, 415, 425, 435, 445, 455, 465, 475, 485])]",,
16,TSeries-09152017-1301-026,['TSeries_296_9'],-4066.17920777,561,1021.74082306,521,26.698,165.311365555,no cnx,147.234241974,no cnx,,5.0,"[array([304, 313, 322, 331, 340, 349, 358, 367, 376, 385])]",,
17,TSeries-09152017-1301-026,['TSeries_386_7'],-4149.69058789,336,1112.00224172,764,26.698,165.531135778,no cnx,188.707060819,no cnx,,5.0,"[array([392, 402, 412, 422, 432, 442, 452, 462, 472, 482])]",,
18,TSeries-09152017-1301-026,['TSeries_296_5'],-4148.168803,340,1079.32311104,676,26.698,137.498641136,no cnx,156.735555457,no cnx,,5.0,"[array([300, 309, 318, 327, 336, 345, 354, 363, 372, 381])]",,
19,TSeries-09152017-1301-026,['TSeries_146_4'],-4228.03148804,125,899.212081737,191,26.698,63.6012454634,no cnx,56.9129713968,no cnx,,5.0,"[array([149, 158, 167, 176, 185, 194, 203, 212, 221, 230])]",,
20,TSeries-09152017-1301-026,['TSeries_386_6'],-4061.53992481,573,1154.89275252,879,26.698,249.646607139,no cnx,257.158044127,no cnx,,5.0,"[array([391, 401, 411, 421, 431, 441, 451, 461, 471, 481])]",,
21,TSeries-09152017-1301-026,['TSeries_386_8'],-4110.35453931,442,1056.07870278,613,26.698,144.588242905,no cnx,146.951816326,no cnx,,5.0,"[array([393, 403, 413, 423, 433, 443, 453, 463, 473, 483])]",,
22,TSeries-09152017-1301-026,['TSeries_66_6'],-4183.03183885,246,1011.47328645,493,26.698,61.7473524687,no cnx,86.3001962191,no cnx,,5.0,"[array([ 71,  79,  87,  95, 103, 111, 119, 127, 135, 143])]",,
23,TSeries-09152017-1301-026,['TSeries_386_9'],-4091.87133576,492,1072.429229,657,26.698,169.261697739,no cnx,170.17628562,no cnx,,5.0,"[array([394, 404, 414, 424, 434, 444, 454, 464, 474, 484])]",,
