index,MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,electrode_1,z_electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
,,,,,,,,,,,,,,
28.0,TSeries-09212017-0943-144_Cycle00002_MarkPoints.xml,5.0,"[145, 151, 157, 163, 169, 175, 181, 187, 193, 199, 205, 211, 217, 223, 229, 235, 241, 247, 253, 259]",-1530.09789514,3024.88228798,-262.061,12.4442479567,36.4970946935,0.0,tbd,,,,
29.0,TSeries-09212017-0943-144_Cycle00002_MarkPoints.xml,5.0,"[146, 152, 158, 164, 170, 176, 182, 188, 194, 200, 206, 212, 218, 224, 230, 236, 242, 248, 254, 260]",-1476.30703353,3078.91011373,-262.061,12.4442479567,109.277475572,0.0,no cnx,,,,
30.0,TSeries-09212017-0943-144_Cycle00002_MarkPoints.xml,5.0,"[147, 153, 159, 165, 171, 177, 183, 189, 195, 201, 207, 213, 219, 225, 231, 237, 243, 249, 255, 261]",-1491.70970315,3107.8197398,-262.061,12.4442479567,118.017186187,0.0,tbd,,,,
31.0,TSeries-09212017-0943-144_Cycle00002_MarkPoints.xml,5.0,"[148, 154, 160, 166, 172, 178, 184, 190, 196, 202, 208, 214, 220, 226, 232, 238, 244, 250, 256, 262]",-1450.71490554,3127.72472823,-262.061,12.4442479567,160.364513339,0.0,no cnx,,,,
32.0,TSeries-09212017-0943-144_Cycle00002_MarkPoints.xml,5.0,"[149, 155, 161, 167, 173, 179, 185, 191, 197, 203, 209, 215, 221, 227, 233, 239, 245, 251, 257, 263]",-1433.65348688,3049.28959523,-262.061,12.4442479567,135.981087134,0.0,no cnx,,,,
,,,,,,,,,,,,,,
34.0,TSeries-09212017-0943-264_Cycle00002_MarkPoints.xml,5.0,"[265, 274, 283, 292, 301, 310, 319, 328, 337, 346, 355, 364, 373, 382, 391, 400, 409, 418, 427, 436]",-1499.52952004,3054.02887819,-252.391,12.4442479567,76.4601461752,0.0,no cnx,,,,
35.0,TSeries-09212017-0943-264_Cycle00002_MarkPoints.xml,5.0,"[266, 275, 284, 293, 302, 311, 320, 329, 338, 347, 356, 365, 374, 383, 392, 401, 410, 419, 428, 437]",-1484.83774286,3034.8347822,-252.391,12.4442479567,82.2596730573,0.0,no cnx,,,,
36.0,TSeries-09212017-0943-264_Cycle00002_MarkPoints.xml,5.0,"[267, 276, 285, 294, 303, 312, 321, 330, 339, 348, 357, 366, 375, 384, 393, 402, 411, 420, 429, 438]",-1473.7004279,3014.92979376,-252.391,12.4442479567,90.5355012445,0.0,no cnx,,,,
37.0,TSeries-09212017-0943-264_Cycle00002_MarkPoints.xml,5.0,"[268, 277, 286, 295, 304, 313, 322, 331, 340, 349, 358, 367, 376, 385, 394, 403, 412, 421, 430, 439]",-1457.82382998,2997.15748266,-252.391,12.4442479567,107.610165595,0.0,no cnx,,,,
