MP_ID,rad_um,sweeps,X_mm,Y_mm,Z_mm,mW,xy_Distance1,x_coor1,y_coor1,z_electrode_1,electrode_1,electrode_1_cnx,notes,Y_pix,Image,X_pix
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[28, 40, 52, 64, 76, 88, 100, 112, 124, 136, 148, 160, 172, 184, 196, 208, 220, 232, 244, 256]",-6783.68805512,412.474980728,-40.651,12.4442479567,25.0207659999,3.80019917285,-24.7304916544,0.0,37.6922000002,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[29, 41, 53, 65, 77, 89, 101, 113, 125, 137, 149, 161, 173, 185, 197, 209, 221, 233, 245, 257]",-6798.61679645,445.412997308,-40.651,12.4442479567,45.3469146178,-31.4896113061,-32.6304619205,0.0,67.6560654522,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[30, 42, 54, 66, 78, 90, 102, 114, 126, 138, 150, 162, 174, 186, 198, 210, 222, 234, 246, 258]",-6755.72628565,446.597818048,-40.651,12.4442479567,67.9211342459,-6.62369747324,-67.5973898093,0.0,46.6313895253,tbd,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[31, 43, 55, 67, 79, 91, 103, 115, 127, 139, 151, 163, 175, 187, 199, 211, 223, 235, 247, 259]",-6704.77899382,410.816231692,-40.651,12.4442479567,101.459680506,52.6135936105,-86.7518099857,0.0,44.3148299901,tbd,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[32, 44, 56, 68, 80, 92, 104, 116, 128, 140, 152, 164, 176, 188, 200, 212, 224, 236, 248, 260]",-6656.43830762,438.067108718,-40.651,12.4442479567,153.910722424,59.942226724,-141.758385757,0.0,98.8342208878,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[33, 45, 57, 69, 81, 93, 105, 117, 129, 141, 153, 165, 177, 189, 201, 213, 225, 237, 249, 261]",-6759.51771202,520.293668094,-40.651,12.4442479567,128.27839174,-67.7615576108,-108.920691779,0.0,120.22889284,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[34, 46, 58, 70, 82, 94, 106, 118, 130, 142, 154, 166, 178, 190, 202, 214, 226, 238, 250, 262]",-6770.89199113,527.165628388,-40.651,12.4442479567,131.2458402,-80.0949611689,-103.972437526,0.0,128.609548941,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[35, 47, 59, 71, 83, 95, 107, 119, 131, 143, 155, 167, 179, 191, 203, 215, 227, 239, 251, 263]",-6813.30857363,496.597253288,-40.651,12.4442479567,96.2695833583,-81.2089079107,-51.700541157,0.0,116.136851795,no cnx,,,,
TSeries-09252017-1120-026_Cycle00002_MarkPoints.xml,5.0,"[36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204, 216, 228, 240, 252, 264]",-6666.15383769,556.312218599,-40.651,12.4442479567,209.089139966,-40.3394688702,-205.160901984,0.0,175.844961709,no cnx,,,,
