,Image,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,ZSeries-10102017-0901-057,-7932.75724961,691,-7232.19555769,336,-392.088,119.492070184,no cnx,,5.0,"[array([ 71,  75,  79,  83,  87,  91,  95,  99, 103, 107])]",14.16
1,ZSeries-10102017-0901-057,-8126.90273874,166,-7237.98108933,320,-406.648,81.6005774883,no cnx,,5.0,"[array([389, 391, 393, 395, 397, 399, 401, 403, 405, 407])]",28.72
2,ZSeries-10102017-0901-057,-8091.09729211,263,-7348.21620279,22,-361.758,128.486277715,no cnx,,5.0,"[array([233, 240, 247, 254, 261, 268, 275, 282, 289, 296])]",16.17
3,ZSeries-10102017-0901-057,-8089.01113663,269,-7427.82151231,192,-341.278,207.472800105,no cnx,,5.0,"[array([300, 305, 310, 315, 320, 325, 330, 335, 340, 345])]",36.65
4,ZSeries-10102017-0901-057,-8073.51398163,311,-7323.81176048,88,-341.278,105.760449045,no cnx,,5.0,"[array([302, 307, 312, 317, 322, 327, 332, 337, 342, 347])]",36.65
5,ZSeries-10102017-0901-057,-8158.74833413,80,-7298.14847125,158,-361.758,129.812689386,no cnx,,5.0,"[array([228, 235, 242, 249, 256, 263, 270, 277, 284, 291])]",16.17
6,ZSeries-10102017-0901-057,-8004.9713375,496,-7193.7506924,440,-349.828,63.6366742261,inhibitory,,5.0,"[[132, 139, 146, 153, 160, 167, 174, 181, 188, 195]]",28.1
7,ZSeries-10102017-0901-057,-8059.04871461,350,-7200.63944951,421,-358.548,33.7204712039,no cnx,,5.0,"[array([198, 201, 204, 207, 210, 213, 216, 219, 222, 225])]",19.38
8,ZSeries-10102017-0901-057,-8262.64437856,200,-6879.73129499,1290,-412.168,408.069733018,no cnx,,5.0,"[array([438, 443, 448, 453, 458, 463, 468, 473, 478, 483])]",34.24
9,ZSeries-10102017-0901-057,-8025.23684788,441,-7150.53747173,557,-349.828,85.640665473,no cnx,,5.0,"[array([131, 138, 145, 152, 159, 166, 173, 180, 187, 194])]",28.1
10,ZSeries-10102017-0901-057,-7914.27987249,741,-7205.07553644,409,-392.088,139.502170476,no cnx,,5.0,"[array([ 69,  73,  77,  81,  85,  89,  93,  97, 101, 105])]",14.16
11,ZSeries-10102017-0901-057,-8024.63833894,443,-7367.28962432,28,-361.758,143.592074782,no cnx,,5.0,"[array([229, 236, 243, 250, 257, 264, 271, 278, 285, 292])]",16.17
12,ZSeries-10102017-0901-057,-8062.78764654,340,-7170.20693769,504,-349.828,64.5069157117,no cnx,,5.0,"[array([134, 141, 148, 155, 162, 169, 176, 183, 190, 197])]",28.1
13,ZSeries-10102017-0901-057,-7999.30645096,511,-7353.28258038,8,-361.758,137.4070476,no cnx,,5.0,"[array([234, 241, 248, 255, 262, 269, 276, 283, 290, 297])]",16.17
14,ZSeries-10102017-0901-057,-8019.27393913,457,-7384.90631384,76,-355.608,162.539440971,no cnx,,5.0,"[array([349, 353, 357, 361, 365, 369, 373, 377, 381, 385])]",22.32
15,ZSeries-10102017-0901-057,-7955.10891548,631,-7201.79729211,418,-366.338,100.141312364,no cnx,,5.0,"[array([108, 110, 112, 114, 116, 118, 120, 122, 124, 126])]",11.59
16,ZSeries-10102017-0901-057,-8224.92806952,98,-7100.6713375,692,-411.878,217.46249401,no cnx,,5.0,"[array([409, 412, 415, 418, 421, 424, 427, 430, 433, 436])]",33.95
17,ZSeries-10102017-0901-057,-8114.0450024,201,-7411.09888942,147,-361.758,195.052131818,no cnx,,5.0,"[array([232, 239, 246, 253, 260, 267, 274, 281, 288, 295])]",16.17
18,ZSeries-10102017-0901-057,-8128.05204634,163,-7401.59555769,121,-355.608,191.910348611,no cnx,,5.0,"[array([350, 354, 358, 362, 366, 370, 374, 378, 382, 386])]",22.32
19,ZSeries-10102017-0901-057,-8106.48073971,221,-6890.1620724,1261,-412.168,343.162772537,no cnx,,5.0,"[array([440, 445, 450, 455, 460, 465, 470, 475, 480, 485])]",34.24
20,ZSeries-10102017-0901-057,-8130.45502846,157,-7050.00756153,829,-411.878,196.947941512,no cnx,,5.0,"[array([410, 413, 416, 419, 422, 425, 428, 431, 434, 437])]",33.95
21,ZSeries-10102017-0901-057,-7971.33771509,587,-7276.60149106,216,-377.588,94.0315970752,no cnx,,5.0,"[array([29, 33, 37, 41, 45, 49, 53, 57, 61, 65])]",0.34
22,ZSeries-10102017-0901-057,-7905.33920615,766,-7116.56293961,649,-392.088,183.653126913,no cnx,,5.0,"[array([ 70,  74,  78,  82,  86,  90,  94,  98, 102, 106])]",14.16
23,ZSeries-10102017-0901-057,-8240.88875711,141,-6939.03771509,1129,-412.168,346.569383587,no cnx,,5.0,"[array([441, 446, 451, 456, 461, 466, 471, 476, 481, 486])]",34.24
24,ZSeries-10102017-0901-057,-7989.77220471,537,-7261.69975663,256,-349.828,75.9647029562,no cnx,,5.0,"[array([133, 140, 147, 154, 161, 168, 175, 182, 189, 196])]",28.1
25,ZSeries-10102017-0901-057,-8015.10162817,469,-7394.70766779,103,-361.758,172.209261909,no cnx,,5.0,"[array([231, 238, 245, 252, 259, 266, 273, 280, 287, 294])]",16.17
26,ZSeries-10102017-0901-057,-8230.31644615,113,-7093.14229451,712,-406.648,225.43998193,no cnx,,5.0,"[array([388, 390, 392, 394, 396, 398, 400, 402, 404, 406])]",28.72
27,ZSeries-10102017-0901-057,-8062.18913759,341,-7390.86675807,92,-341.278,168.147378201,inhibitory,,5.0,"[[298, 303, 308, 313, 318, 323, 328, 333, 338, 343]]",36.65
28,ZSeries-10102017-0901-057,-8031.40260163,425,-7274.51471173,222,-366.338,52.688518709,no cnx,,5.0,"[array([109, 111, 113, 115, 117, 119, 121, 123, 125, 127])]",11.59
29,ZSeries-10102017-0901-057,-7950.43327278,644,-7258.71953452,264,-349.828,109.369888347,no cnx,,5.0,"[array([129, 136, 143, 150, 157, 164, 171, 178, 185, 192])]",28.1
30,ZSeries-10102017-0901-057,-8058.91335779,350,-7122.22536163,634,-349.828,108.863650375,no cnx,,5.0,"[array([128, 135, 142, 149, 156, 163, 170, 177, 184, 191])]",28.1
31,ZSeries-10102017-0901-057,-7912.62733942,746,-7196.13549394,434,-377.588,142.092239547,no cnx,,5.0,"[array([31, 35, 39, 43, 47, 51, 55, 59, 63, 67])]",0.34
32,ZSeries-10102017-0901-057,-8093.18344759,257,-7339.9049599,45,-341.278,125.766061304,no cnx,,5.0,"[array([299, 304, 309, 314, 319, 324, 329, 334, 339, 344])]",36.65
33,ZSeries-10102017-0901-057,-7978.78827038,567,-7194.34736067,438,-377.588,79.5751961684,inhibitory,,5.0,"[[30, 34, 38, 42, 46, 50, 54, 58, 62, 66]]",0.34
34,ZSeries-10102017-0901-057,-8097.05773634,247,-7255.53129499,273,-361.758,56.2344903696,no cnx,,5.0,"[array([230, 237, 244, 251, 258, 265, 272, 279, 286, 293])]",16.17
35,ZSeries-10102017-0901-057,-8025.57775759,440,-7263.19049154,252,-377.588,44.3000265041,no cnx,,5.0,"[array([28, 32, 36, 40, 44, 48, 52, 56, 60, 64])]",0.34
36,ZSeries-10102017-0901-057,-8103.45402413,230,-7275.44302461,219,-358.548,73.6917666925,no cnx,,5.0,"[array([199, 202, 205, 208, 211, 214, 217, 220, 223, 226])]",19.38
37,ZSeries-10102017-0901-057,-8187.54278125,2,-7031.72262288,878,-412.168,240.658324152,no cnx,,5.0,"[array([439, 444, 449, 454, 459, 464, 469, 474, 479, 484])]",34.24
38,ZSeries-10102017-0901-057,-8035.9656475,412,-7259.01755673,264,-349.828,45.187655055,no cnx,,5.0,"[array([130, 137, 144, 151, 158, 165, 172, 179, 186, 193])]",28.1
39,ZSeries-10102017-0901-057,-8028.21460548,433,-7357.19024817,1,-355.608,133.971344759,no cnx,,5.0,"[array([351, 355, 359, 363, 367, 371, 375, 379, 383, 387])]",22.32
40,ZSeries-10102017-0901-057,-8285.12855625,261,-7207.66131144,402,-411.878,237.081618749,inhibitory,,5.0,"[[408, 411, 414, 417, 420, 423, 426, 429, 432, 435]]",33.95
41,ZSeries-10102017-0901-057,-8155.95242682,88,-6930.39507096,1153,-412.168,316.500767669,no cnx,,5.0,"[array([442, 447, 452, 457, 462, 467, 472, 477, 482, 487])]",34.24
42,ZSeries-10102017-0901-057,-7989.08344759,539,-7137.42449442,592,-392.088,110.078404391,no cnx,,5.0,"[array([ 68,  72,  76,  80,  84,  88,  92,  96, 100, 104])]",14.16
43,ZSeries-10102017-0901-057,-8136.99271269,139,-7431.39777885,202,-355.608,222.641917581,no cnx,,5.0,"[array([348, 352, 356, 360, 364, 368, 372, 376, 380, 384])]",22.32
44,ZSeries-10102017-0901-057,-8014.9414273,469,-7286.76786865,188,-358.548,72.4903710313,no cnx,,5.0,"[array([200, 203, 206, 209, 212, 215, 218, 221, 224, 227])]",19.38
45,ZSeries-10102017-0901-057,-8050.56627134,373,-7400.10544663,117,-341.278,176.822997694,no cnx,,5.0,"[array([301, 306, 311, 316, 321, 326, 331, 336, 341, 346])]",36.65
