,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-11272017-1013-035,['TSeries_627_6'],-6853.35547195,15,-7615.34660554,174,-174.394,214.445050045,no cnx,,5.0,"[array([632, 642, 652, 662, 672, 682, 692, 702, 712, 722])]",-0.12
1,ZSeries-11272017-1013-035,['TSeries_127_10'],-6814.98496443,118,-7482.74132491,184,-148.574,94.1698285483,excitatory,,5.0,"[[136, 146, 156, 166, 176, 186, 196, 206, 216, 226]]",-25.94
2,ZSeries-11272017-1013-035,['TSeries_427_7'],-6882.81615178,64,-7538.37594309,34,-137.414,181.755006904,no cnx,,5.0,"[array([433, 443, 453, 463, 473, 483, 493, 503, 513, 523])]",-37.1
3,ZSeries-11272017-1013-035,['TSeries_527_1'],-6906.69726167,129,-7563.74660554,34,-141.514,214.794373301,no cnx,,5.0,"[array([527, 537, 547, 557, 567, 577, 587, 597, 607, 617])]",-33.0
4,ZSeries-11272017-1013-035,['TSeries_727_9'],-6900.12887274,111,-7723.94691542,467,-254.534,341.251430851,no cnx,,5.0,"[array([735, 745, 755, 765, 775, 785, 795, 805, 815, 825])]",80.02
5,ZSeries-11272017-1013-035,['TSeries_627_2'],-6872.44116997,36,-7726.90385455,475,-174.394,321.856383854,no cnx,,5.0,"[array([628, 638, 648, 658, 668, 678, 688, 698, 708, 718])]",-0.12
6,ZSeries-11272017-1013-035,['TSeries_27_1'],-6719.96935021,375,-7456.93531068,254,-146.824,40.3599888398,no cnx,,5.0,"[array([ 27,  37,  47,  57,  67,  77,  87,  97, 107, 117])]",-27.69
7,ZSeries-11272017-1013-035,['TSeries_327_8'],-6904.58997629,123,-7528.16106246,61,-150.934,192.21511549,no cnx,,5.0,"[array([334, 344, 354, 364, 374, 384, 394, 404, 414, 424])]",-23.58
8,ZSeries-11272017-1013-035,['TSeries_727_5'],-6945.55821028,234,-7692.22702293,382,-254.534,340.325121809,no cnx,,5.0,"[array([731, 741, 751, 761, 771, 781, 791, 801, 811, 821])]",80.02
9,ZSeries-11272017-1013-035,['TSeries_627_9'],-6984.53604427,339,-7645.1848095,254,-174.394,324.054389696,no cnx,,5.0,"[array([635, 645, 655, 665, 675, 685, 695, 705, 715, 725])]",-0.12
10,ZSeries-11272017-1013-035,['TSeries_227_10'],-6838.42116364,55,-7537.84791779,35,-135.194,149.190211946,no cnx,,5.0,"[array([236, 246, 256, 266, 276, 286, 296, 306, 316, 326])]",-39.32
11,ZSeries-11272017-1013-035,['TSeries_27_10'],-6734.75404586,335,-7428.44116997,331,-146.824,28.5404971886,no cnx,,5.0,"[array([ 36,  46,  56,  66,  76,  86,  96, 106, 116, 126])]",-27.69
12,ZSeries-11272017-1013-035,['TSeries_327_9'],-6928.24548933,187,-7612.29942135,165,-150.934,261.246653268,no cnx,,5.0,"[array([335, 345, 355, 365, 375, 385, 395, 405, 415, 425])]",-23.58
13,ZSeries-11272017-1013-035,['TSeries_427_2'],-6827.97837155,83,-7518.75261977,87,-137.414,128.523416192,no cnx,,5.0,"[array([428, 438, 448, 458, 468, 478, 488, 498, 508, 518])]",-37.1
14,ZSeries-11272017-1013-035,['TSeries_227_9'],-6782.77694546,205,-7468.49425455,223,-135.194,68.3814225212,no cnx,,5.0,"[array([235, 245, 255, 265, 275, 285, 295, 305, 315, 325])]",-39.32
15,ZSeries-11272017-1013-035,['TSeries_627_10'],-6875.9357344,46,-7665.07694546,308,-174.394,268.643726813,no cnx,,5.0,"[array([636, 646, 656, 666, 676, 686, 696, 706, 716, 726])]",-0.12
16,ZSeries-11272017-1013-035,['TSeries_827_10'],-6721.8707763,370,-7453.99267353,262,-175.934,25.9235178952,no cnx,,5.0,"[array([836, 846, 856, 866, 876, 886, 896, 906, 916, 926])]",1.42
17,ZSeries-11272017-1013-035,['TSeries_627_8'],-6893.94618183,94,-7624.48623558,198,-174.394,245.657571346,no cnx,,5.0,"[array([634, 644, 654, 664, 674, 684, 694, 704, 714, 724])]",-0.12
18,ZSeries-11272017-1013-035,['TSeries_127_2'],-6741.59911147,317,-7493.76264348,154,-148.574,65.0263772572,no cnx,,5.0,"[array([128, 138, 148, 158, 168, 178, 188, 198, 208, 218])]",-25.94
19,ZSeries-11272017-1013-035,['TSeries_227_4'],-6815.03446325,118,-7559.084117,21,-135.194,151.613773173,no cnx,,5.0,"[array([230, 240, 250, 260, 270, 280, 290, 300, 310, 320])]",-39.32
20,ZSeries-11272017-1013-035,['TSeries_327_1'],-6800.55948143,157,-7471.17278104,215,-150.934,75.9302430729,excitatory,,5.0,"[[327, 337, 347, 357, 367, 377, 387, 397, 407, 417]]",-23.58
21,ZSeries-11272017-1013-035,['TSeries_827_5'],-6745.52628934,306,-7492.43288222,158,-175.934,58.6532384766,no cnx,,5.0,"[array([831, 841, 851, 861, 871, 881, 891, 901, 911, 921])]",1.42
22,ZSeries-11272017-1013-035,['TSeries_527_6'],-6851.59066879,19,-7553.53172491,6,-141.514,167.633531313,no cnx,,5.0,"[array([532, 542, 552, 562, 572, 582, 592, 602, 612, 622])]",-33.0
23,ZSeries-11272017-1013-035,['TSeries_227_8'],-6868.25936759,25,-7403.44159369,399,-135.194,138.972407467,no cnx,,5.0,"[array([234, 244, 254, 264, 274, 284, 294, 304, 314, 324])]",-39.32
24,ZSeries-11272017-1013-035,['TSeries_327_5'],-6787.65647432,192,-7485.68866404,176,-150.934,74.9388870818,excitatory,,5.0,"[[331, 341, 351, 361, 371, 381, 391, 401, 411, 421]]",-23.58
25,ZSeries-11272017-1013-035,['TSeries_127_4'],-6868.47868142,25,-7511.77309091,106,-148.574,153.512569603,excitatory,,5.0,"[[130, 140, 150, 160, 170, 180, 190, 200, 210, 220]]",-25.94
26,ZSeries-11272017-1013-035,['TSeries_227_1'],-6806.4324585,141,-7544.56823399,17,-135.194,135.390531583,no cnx,,5.0,"[array([227, 237, 247, 257, 267, 277, 287, 297, 307, 317])]",-39.32
27,ZSeries-11272017-1013-035,['TSeries_927_7'],-6753.42544191,285,-7419.78080001,355,-127.614,51.2705558978,no cnx,,5.0,"[array([ 933,  943,  953,  963,  973,  983,  993, 1003, 1013, 1023])]",-46.9
28,ZSeries-11272017-1013-035,['TSeries_27_8'],-6792.81757787,178,-7478.44032254,196,-146.824,75.274230381,excitatory,,5.0,"[[34, 44, 54, 64, 74, 84, 94, 104, 114, 124]]",-27.69
29,ZSeries-11272017-1013-035,['TSeries_827_4'],-6819.98739289,105,-7484.63731542,179,-175.934,95.7825558125,excitatory,,5.0,"[[830, 840, 850, 860, 870, 880, 890, 900, 910, 920]]",1.42
30,ZSeries-11272017-1013-035,['TSeries_627_3'],-6847.17278104,31,-7640.34618183,241,-174.394,232.995851461,no cnx,,5.0,"[array([629, 639, 649, 659, 669, 679, 689, 699, 709, 719])]",-0.12
31,ZSeries-11272017-1013-035,['TSeries_927_4'],-6823.58554309,95,-7504.45678419,125,-127.614,119.843285157,no cnx,,5.0,"[array([ 930,  940,  950,  960,  970,  980,  990, 1000, 1010, 1020])]",-46.9
32,ZSeries-11272017-1013-035,['TSeries_27_5'],-6765.39868776,252,-7395.10840159,421,-146.824,54.9163155935,excitatory,,5.0,"[[31, 41, 51, 61, 71, 81, 91, 101, 111, 121]]",-27.69
33,ZSeries-11272017-1013-035,['TSeries_27_6'],-6803.30127115,150,-7451.02143242,270,-146.824,72.3880054533,excitatory,,5.0,"[[32, 42, 52, 62, 72, 82, 92, 102, 112, 122]]",-27.69
34,ZSeries-11272017-1013-035,['TSeries_727_6'],-6876.47335969,47,-7695.99040001,392,-254.534,306.512602589,no cnx,,5.0,"[array([732, 742, 752, 762, 772, 782, 792, 802, 812, 822])]",80.02
35,ZSeries-11272017-1013-035,['TSeries_1027_7'],-6729.21699922,350,-7338.81584191,574,-89.924,127.840475829,excitatory,,5.0,"[[1033, 1043, 1053, 1063, 1073, 1083, 1093, 1103, 1113, 1123]]",-84.59
36,ZSeries-11272017-1013-035,['TSeries_1027_3'],-6741.85119368,316,-7427.79282846,333,-89.924,84.8967742325,excitatory,,5.0,"[[1029, 1039, 1049, 1059, 1069, 1079, 1089, 1099, 1109, 1119]]",-84.59
37,ZSeries-11272017-1013-035,['TSeries_527_2'],-6873.90211859,40,-7598.42343716,128,-141.514,215.338240011,no cnx,,5.0,"[array([528, 538, 548, 558, 568, 578, 588, 598, 608, 618])]",-33.0
38,ZSeries-11272017-1013-035,['TSeries_127_9'],-6808.26464823,136,-7538.11673044,34,-148.574,127.777743955,no cnx,,5.0,"[array([135, 145, 155, 165, 175, 185, 195, 205, 215, 225])]",-25.94
39,ZSeries-11272017-1013-035,['TSeries_127_7'],-6730.5777929,347,-7394.033151,424,-148.574,48.4869507916,excitatory,,5.0,"[[133, 143, 153, 163, 173, 183, 193, 203, 213, 223]]",-25.94
40,ZSeries-11272017-1013-035,['TSeries_27_3'],-6837.97810277,56,-7559.89055494,24,-146.824,162.618648207,no cnx,,5.0,"[array([ 29,  39,  49,  59,  69,  79,  89,  99, 109, 119])]",-27.69
