,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_1,electrode_1_cnx,notes,rad_um,sweeps,z_electrode_1
0,TSeries-09012017-0915-051,['TSeries_51_1'],-6976.722697,204,5116.772808,185,3900.485,234.8986345,no cnx,,5,"[array([51, 54, 57, 60, 63, 66, 69, 72, 75, 78])]",57.223
1,TSeries-09012017-0915-051,['TSeries_31_1'],-6924.320265,346,5018.903095,77,3900.485,230.0925162,no cnx,,5,"[array([31, 33, 35, 37, 39, 41, 43, 45, 47, 49])]",57.223
2,TSeries-09012017-0915-051,['TSeries_31_2'],-6868.076345,497,5048.209138,1,3900.485,171.3382169,no cnx,,5,"[array([32, 34, 36, 38, 40, 42, 44, 46, 48, 50])]",57.223
3,TSeries-09012017-0915-051,['TSeries_51_3'],-7021.421813,84,5187.521739,376,3900.485,275.2279414,no cnx,,5,"[array([53, 56, 59, 62, 65, 68, 71, 74, 77, 80])]",57.223
4,TSeries-09012017-0915-051,['TSeries_51_2'],-6925.807148,342,5120.325055,195,3900.485,186.3405053,no cnx,,5,"[array([52, 55, 58, 61, 64, 67, 70, 73, 76, 79])]",57.223
0,TSeries-09012017-0915-141,['TSeries_141_2'],-6786.948418,345,5085.660359,244,3900.485,101.0875484,no cnx,,10.07,"[array([142, 147, 152, 157, 162, 167, 172, 177, 182, 187])]",57.223
1,TSeries-09012017-0915-141,['TSeries_141_5'],-6713.645082,443,5061.225914,212,3900.485,122.4854627,no cnx,,10.07,"[array([145, 150, 155, 160, 165, 170, 175, 180, 185, 190])]",57.223
2,TSeries-09012017-0915-141,['TSeries_141_1'],-6978.252247,89,5124.993857,297,3900.485,234.9202869,inhibitory,,10.07,"[[141, 146, 151, 156, 161, 166, 171, 176, 181, 186]]",57.223
3,TSeries-09012017-0915-141,['TSeries_141_3'],-6851.312323,259,4937.265801,46,3900.485,251.6748881,no cnx,,10.07,"[array([143, 148, 153, 158, 163, 168, 173, 178, 183, 188])]",57.223
4,TSeries-09012017-0915-141,['TSeries_141_4'],-6720.200665,434,4997.457971,126,3900.485,177.3038225,no cnx,,10.07,"[array([144, 149, 154, 159, 164, 169, 174, 179, 184, 189])]",57.223
0,TSeries-09012017-0915-141,['TSeries_81_3'],-6764.650921,375,5091.393736,252,3900.485,91.53666309,no cnx,,5,"[array([ 83,  86,  89,  92,  95,  98, 101, 104, 107, 110])]",57.223
1,TSeries-09012017-0915-141,['TSeries_81_2'],-6791.88482,338,5128.692336,302,3900.485,76.54943031,no cnx,,5,"[array([ 82,  85,  88,  91,  94,  97, 100, 103, 106, 109])]",57.223
2,TSeries-09012017-0915-141,['TSeries_81_1'],-6829.183419,288,5134.908769,310,3900.485,98.71729801,no cnx,,5,"[array([ 81,  84,  87,  90,  93,  96,  99, 102, 105, 108])]",57.223
0,TSeries-09012017-0915-141,['TSeries_111_1'],-6946.382019,131,5070.461385,224,3900.485,221.0821392,no cnx,,5,"[array([111, 114, 117, 120, 123, 126, 129, 132, 135, 138])]",57.223
1,TSeries-09012017-0915-141,['TSeries_111_3'],-6922.108327,164,5015.993589,151,3900.485,230.2874492,no cnx,,5,"[array([113, 116, 119, 122, 125, 128, 131, 134, 137, 140])]",57.223
2,TSeries-09012017-0915-141,['TSeries_111_2'],-6864.976345,240,5045.003611,190,3900.485,171.4498331,no cnx,,5,"[array([112, 115, 118, 121, 124, 127, 130, 133, 136, 139])]",57.223
0,TSeries-09012017-0915-141,['TSeries_351_5'],-6726.287603,426,5105.163905,270,3989.326,70.43467825,no cnx,,10.07,"[array([355, 360, 365, 370, 375, 380, 385, 390, 395, 400])]",-31.618
1,TSeries-09012017-0915-141,"['TSeries_191_1', 'TSeries_196_1']",-6978.252247,89,5124.993857,297,3900.485,234.9202869,inhibitory,,10.07,"[[191, 192, 193, 194, 195], [196, 197, 198, 199, 200]]",57.223
2,TSeries-09012017-0915-141,['TSeries_301_3'],-6564.822996,642,5089.668891,250,3900.485,209.9289138,no cnx,,10.07,"[array([303, 308, 313, 318, 323, 328, 333, 338, 343, 348])]",57.223
3,TSeries-09012017-0915-141,['TSeries_401_1'],-6790.651508,340,5098.608322,262,3969.496,74.4121966,no cnx,,10.07,"[array([401, 403, 405, 407, 409, 411, 413, 415, 417, 419])]",-11.788
4,TSeries-09012017-0915-141,['TSeries_251_5'],-6583.343186,617,4966.14182,84,3900.485,265.6012696,no cnx,,10.07,"[array([255, 260, 265, 270, 275, 280, 285, 290, 295, 300])]",57.223
5,TSeries-09012017-0915-141,"['TSeries_201_5', 'TSeries_226_5']",-6783.053158,350,5054.969383,203,3900.485,124.8902362,no cnx,,10.07,"[array([205, 210, 215, 220, 225]), array([230, 235, 240, 245, 250])]",57.223
6,TSeries-09012017-0915-141,['TSeries_251_2'],-6539.837954,676,5200.354918,398,3900.485,224.4299474,no cnx,,10.07,"[array([252, 257, 262, 267, 272, 277, 282, 287, 292, 297])]",57.223
7,TSeries-09012017-0915-141,['TSeries_251_1'],-6712.666958,444,4954.81854,69,3900.485,218.7235684,no cnx,,10.07,"[array([251, 256, 261, 266, 271, 276, 281, 286, 291, 296])]",57.223
8,TSeries-09012017-0915-141,['TSeries_301_2'],-6605.348418,588,5356.063942,606,3900.485,250.7601672,no cnx,,10.07,"[array([302, 307, 312, 317, 322, 327, 332, 337, 342, 347])]",57.223
9,TSeries-09012017-0915-141,['TSeries_421_1'],-6729.863376,421,5103.376019,268,3993.883,72.76636843,inhibitory,,10.07,"[[421, 423, 425, 427, 429, 431, 433, 435, 437, 439]]",-36.175
10,TSeries-09012017-0915-141,['TSeries_351_3'],-6804.954598,321,5065.234445,217,3989.326,114.0581466,no cnx,,10.07,"[array([353, 358, 363, 368, 373, 378, 383, 388, 393, 398])]",-31.618
11,TSeries-09012017-0915-141,"['TSeries_201_3', 'TSeries_226_3']",-6835.497821,280,4939.948701,49,3900.485,243.5074016,no cnx,,10.07,"[array([203, 208, 213, 218, 223]), array([228, 233, 238, 243, 248])]",57.223
12,TSeries-09012017-0915-141,['TSeries_351_2'],-6688.741992,476,5387.05397,648,3989.326,236.3355792,no cnx,,10.07,"[array([352, 357, 362, 367, 372, 377, 382, 387, 392, 397])]",-31.618
13,TSeries-09012017-0915-141,['TSeries_401_2'],-6967.652247,103,5153.436834,335,3969.496,214.7199487,no cnx,,10.07,"[array([402, 404, 406, 408, 410, 412, 414, 416, 418, 420])]",-11.788
14,TSeries-09012017-0915-141,['TSeries_301_4'],-6551.711831,660,5323.881989,563,3900.485,264.9228165,no cnx,,10.07,"[array([304, 309, 314, 319, 324, 329, 334, 339, 344, 349])]",57.223
