filename,presynaptic_driver,presynaptic_effector,HS0_class,HS0_reporter,HS0_angle,HS0_x,HS0_y,HS1_class,HS1_reporter,HS1_angle,HS1_x,HS1_y,HS2_class,HS2_reporter,HS2_angle,HS2_x,HS2_y,HS3_class,HS3_reporter,HS3_angle,HS3_x,HS3_y
2017_09_01_exp1_TH_connections,GAD2,Ai136,pyr,neg,230,-4550,-460.4,,,,,,,,,,,,,,,
2017_09_01_exp3_TH_connections,GAD2,Ai136,inter,neg,230,-4095,-840.7,,,,,,,,,,,,,,,
2017_09_01_exp4_TH_connections,GAD2,Ai136,pyr,neg,110,-3775.3,-1021,,,,,,,,,,,,,,,
2017_09_01_exp5_TH_connections,GAD2,Ai136,pyr,neg,110,-3760.5,-1103.15,,,,,,,,,,,,,,,
2017_09_01_exp6_TH_connections,GAD2,Ai136,pyr,neg,250,-1983.1,-370,,,,,,,,,,,,,,,
2017_09_12_exp3_AB_connections,Slc17a7,ReaChRKv,,,,,,pyr,pos,118.6,-1047.6,5243.9,,,,,,,,,,
2017_09_12_exp6_TH_connections,Slc17a7,ReaChRKv,pyr,pos,241.3,-6888.2,-7575.3,,,,,,,,,,,,,,,
2017_09_13_exp1_TH_connections,Slc17a7,ReaChRKv,,,,,,pyr,pos,132,-5638.3,-6196.5,,,,,,,,,,
2017_09_13_exp2_TH_connections,Slc17a7,ReaChRKv,,,,,,inter,neg,132,-5755.5,-5956.3,,,,,,,,,,
2017_09_13_exp3_AB_connections,Slc17a7,ReaChRKv,,,,,,pyr,pos,237.4,-4593.2,5702.3,,,,,,,,,,
2017_09_13_exp3_TH_connections,Slc17a7,ReaChRKv,pyr,pos,229,-5872.8,-5990.7,,,,,,,,,,,,,,,
2017_09_18_exp1_AB_connections,Slc17a7,ReaChRKv,,,,,,pyr,pos,142.3,-1670,6772.2,,,,,,,,,,
2017_09_18_exp3_TH_connections,Slc17a7,ReaChRKv,pyr,pos,234,-7094.1,-6404.8,,,,,,,,,,,,,,,
2017_09_18_exp4_TH_connections,Slc17a7,ReaChRKv,pyr,pos,227.9,-6229.3,-7085.9,,,,,,,,,,,,,,,
2017_09_18_exp5_TH_connections,Slc17a7,ReaChRKv,pyr,neg,227.9,-6231.3,-7038.3,,,,,,,,,,,,,,,
2017_09_18_exp6_TH_connections,Slc17a7,ReaChRKv,,,,,,pyr,pos,230,-6566.2,-6878.1,,,,,,,,,,
2017_09_21_exp1_TH_connections,Tlx3,ReaChRKv,pyr,neg,86.7,-5673.6,-6782.3,,,,,,,,,,,,,,,
2017_09_21_exp2_TH_connections,Tlx3,ReaChRKv,pyr,pos,86.7,-5584.2,-6930.1,,,,,,,,,,,,,,,
